filename,satellite_name,satellite_norad_id,time_enters,time_leaves,azimuth_enters,altitude_enters,azimuth_leaves,altitude_leaves
command_line_input,LAGEOS 1,8820,2026-01-06T04:20:26Z,2026-01-06T04:21:23Z,68.86,70.85,59.12,71.79
command_line_input,STELLA,22824,2026-01-06T15:21:47Z,2026-01-06T15:21:50Z,65.19,67.07,68.34,67.90
command_line_input,CRYOSAT 2,36508,2026-01-16T01:40:38Z,2026-01-16T01:40:41Z,63.98,67.07,67.81,67.79
command_line_input,S6 MICHAEL FREILICH,46984,2026-01-16T13:38:09Z,2026-01-16T13:38:21Z,59.67,69.39,68.99,68.85
command_line_input,SARAL,39086,2026-01-16T10:39:44Z,2026-01-16T10:39:48Z,68.93,75.00,60.87,74.68
command_line_input,LAGEOS 2,22195,2026-01-16T00:47:57Z,2026-01-16T00:50:13Z,63.07,77.00,59.02,70.13
command_line_input,SENTINEL 3A,41335,2026-01-16T02:43:14Z,2026-01-16T02:43:18Z,67.72,74.64,60.09,74.30
command_line_input,SENTINEL 3B,43437,2026-01-03T02:42:04Z,2026-01-03T02:42:10Z,68.74,71.99,59.07,71.51
command_line_input,JASON 3,41240,2026-01-15T13:33:04Z,2026-01-15T13:33:14Z,59.58,72.21,68.88,71.77
command_line_input,S6 MICHAEL FREILICH,46984,2026-01-15T05:21:57Z,2026-01-15T05:22:13Z,68.62,70.49,61.31,67.04
command_line_input,STARLETTE,7646,2026-01-15T05:09:53Z,2026-01-15T05:10:02Z,59.52,75.63,68.77,73.73
command_line_input,SWARM A,39452,2026-01-07T06:04:32Z,2026-01-07T06:04:35Z,66.64,69.02,59.71,67.82
command_line_input,EGS (AJISAI),16908,2026-01-07T01:11:27Z,2026-01-07T01:11:42Z,59.44,73.42,68.94,71.08
command_line_input,LAGEOS 2,22195,2026-01-07T01:47:32Z,2026-01-07T01:49:06Z,61.72,76.97,59.01,72.18
command_line_input,SWARM B,39451,2026-01-12T11:41:57Z,2026-01-12T11:41:59Z,60.55,75.86,67.11,76.57
command_line_input,LAGEOS 1,8820,2026-01-12T19:00:18Z,2026-01-12T19:01:53Z,59.02,68.54,68.92,72.70
command_line_input,STARLETTE,7646,2026-01-12T06:01:37Z,2026-01-12T06:01:49Z,59.62,71.37,68.91,68.83
command_line_input,EGS (AJISAI),16908,2025-12-25T04:49:05Z,2025-12-25T04:49:10Z,64.86,76.85,68.98,76.02
command_line_input,EGS (AJISAI),16908,2025-12-25T23:49:35Z,2025-12-25T23:50:15Z,66.89,76.77,63.70,67.13
command_line_input,SWARM A,39452,2025-12-23T07:25:11Z,2025-12-23T07:25:14Z,66.78,68.22,60.10,67.05
command_line_input,CRYOSAT 2,36508,2026-01-18T01:38:46Z,2026-01-18T01:38:51Z,59.22,73.62,68.37,75.03
command_line_input,JASON 3,41240,2026-01-18T04:30:53Z,2026-01-18T04:30:54Z,59.94,76.78,59.31,76.53
command_line_input,LAGEOS 2,22195,2026-01-18T05:11:09Z,2026-01-18T05:12:42Z,59.02,70.63,68.99,67.41
command_line_input,LARETS,27944,2026-01-18T08:41:03Z,2026-01-18T08:41:08Z,68.04,69.14,59.90,68.66
command_line_input,EGS (AJISAI),16908,2026-01-04T01:52:27Z,2026-01-04T01:52:45Z,59.54,70.02,68.72,67.21
command_line_input,LAGEOS 1,8820,2026-01-04T19:20:12Z,2026-01-04T19:21:48Z,59.06,68.26,68.97,72.45
command_line_input,STARLETTE,7646,2026-01-01T09:47:06Z,2026-01-01T09:47:09Z,64.85,77.00,68.62,76.27
command_line_input,LARETS,27944,2026-01-01T21:44:05Z,2026-01-01T21:44:12Z,59.98,67.18,68.93,69.61
command_line_input,HAIYANG 2C,46469,2026-01-01T02:50:52Z,2026-01-01T02:51:00Z,59.10,70.10,68.40,69.66
command_line_input,HAIYANG 2C,46469,2026-01-01T18:04:31Z,2026-01-01T18:04:32Z,68.93,67.53,68.28,67.24
command_line_input,HAIYANG 2D,48621,2026-01-01T00:17:38Z,2026-01-01T00:17:48Z,68.10,76.30,59.45,72.95
command_line_input,SENTINEL 3B,43437,2026-01-01T15:46:46Z,2026-01-01T15:46:51Z,63.31,67.18,68.64,68.58
command_line_input,LAGEOS 1,8820,2026-01-20T18:40:25Z,2026-01-20T18:41:59Z,59.03,68.86,68.97,72.98
command_line_input,LAGEOS 2,22195,2026-01-20T05:24:03Z,2026-01-20T05:25:03Z,59.08,76.04,68.86,74.11
command_line_input,LARETS,27944,2026-01-20T21:47:47Z,2026-01-20T21:47:53Z,60.21,69.78,68.99,71.94
command_line_input,LARES,38077,2026-01-20T10:54:26Z,2026-01-20T10:54:42Z,68.96,75.11,59.28,71.97
command_line_input,HAIYANG 2C,46469,2026-01-20T22:15:22Z,2026-01-20T22:15:30Z,59.76,69.84,68.92,69.37
command_line_input,SENTINEL 3A,41335,2026-01-20T02:39:32Z,2026-01-20T02:39:38Z,67.91,69.26,59.58,68.80
command_line_input,HAIYANG 2D,48621,2026-01-20T04:29:02Z,2026-01-20T04:29:07Z,60.13,75.87,68.49,75.60
command_line_input,HAIYANG 2D,48621,2026-01-20T19:42:25Z,2026-01-20T19:42:36Z,68.69,76.61,59.07,72.92
command_line_input,SARAL,39086,2026-01-08T23:44:57Z,2026-01-08T23:45:03Z,59.21,71.83,67.44,73.78
command_line_input,SWARM B,39451,2026-01-08T00:21:24Z,2026-01-08T00:21:27Z,68.87,74.77,60.23,73.72
command_line_input,STELLA,22824,2026-01-08T02:16:00Z,2026-01-08T02:16:06Z,68.97,71.64,59.42,71.18
command_line_input,LARES,38077,2026-01-08T21:59:01Z,2026-01-08T21:59:15Z,59.15,67.39,68.48,67.12
command_line_input,SWARM A,39452,2025-12-28T06:58:46Z,2025-12-28T06:58:49Z,67.07,69.84,59.83,68.64
command_line_input,SENTINEL 3B,43437,2025-12-28T15:50:35Z,2025-12-28T15:50:40Z,60.16,73.22,67.39,74.81
command_line_input,SARAL,39086,2025-12-22T10:38:21Z,2025-12-22T10:38:26Z,67.82,72.99,59.05,72.53
command_line_input,EGS (AJISAI),16908,2025-12-22T05:29:59Z,2025-12-22T05:30:13Z,59.55,74.14,68.88,71.95
command_line_input,LAGEOS 2,22195,2025-12-22T08:09:33Z,2025-12-22T08:11:00Z,59.03,71.56,69.00,68.59
command_line_input,STELLA,22824,2025-12-22T15:21:34Z,2025-12-22T15:21:42Z,59.99,67.32,68.56,69.69
command_line_input,LARETS,27944,2025-12-22T08:40:51Z,2025-12-22T08:40:55Z,68.85,74.81,59.85,74.40
command_line_input,HAIYANG 2C,46469,2025-12-22T05:08:36Z,2025-12-22T05:08:43Z,59.97,70.17,68.13,69.77
command_line_input,HAIYANG 2C,46469,2025-12-22T20:22:14Z,2025-12-22T20:22:16Z,68.97,67.65,67.67,67.07
command_line_input,HAIYANG 2D,48621,2025-12-22T02:35:16Z,2025-12-22T02:35:27Z,68.70,76.48,59.14,72.79
command_line_input,JASON 3,41240,2025-12-29T17:02:49Z,2025-12-29T17:02:58Z,59.35,73.50,68.43,73.13
command_line_input,LAGEOS 1,8820,2025-12-29T04:40:23Z,2025-12-29T04:41:21Z,68.92,70.65,59.12,71.61
command_line_input,LAGEOS 2,22195,2025-12-29T02:47:06Z,2025-12-29T02:47:56Z,60.42,76.96,59.01,74.39
command_line_input,STARLETTE,7646,2025-12-29T10:38:42Z,2025-12-29T10:38:52Z,59.17,73.06,68.77,70.73
command_line_input,LARES,38077,2025-12-29T14:47:10Z,2025-12-29T14:47:29Z,68.93,72.15,59.32,68.55
command_line_input,LAGEOS 2,22195,2025-12-31T07:10:05Z,2025-12-31T07:11:34Z,59.03,71.25,69.00,68.19
command_line_input,HAIYANG 2D,48621,2025-12-31T09:04:14Z,2025-12-31T09:04:19Z,59.36,75.82,67.70,75.57
command_line_input,JASON 3,41240,2026-01-05T07:04:39Z,2026-01-05T07:04:59Z,68.96,72.16,59.31,67.65
command_line_input,S6 MICHAEL FREILICH,46984,2026-01-05T07:23:26Z,2026-01-05T07:23:42Z,68.86,70.62,61.47,67.18
